alpha,beta,p,ratio,median_w,pd_verdict,pd_worst,spearman,lift,knn_k,knn_skill,gp_mae,gp_cov
0.0,0.5,1,geom-only,2.803745515177174,PD,6.940194288299685e-05,0.30693919570388006,2.2823347847356126,20,-0.016782988123531517,4.527265512248041,0.7785714285714286
1.0,0.5,1,2,3.132474831566862,PD,5.122279984977729e-05,0.3119492759430787,2.4024689832209303,20,-0.0053035676508648155,4.51153226944955,0.7785714285714286
1.0,1.0,1,1,6.0345700310060195,PD,6.546278413490809e-05,0.31105246287321864,2.38234949034344,20,-0.00820522896739928,4.490961142360796,0.78
1.0,2.0,1,0.5,11.714530437881994,PD,6.900554599294592e-05,0.30923700703563806,2.33861909209682,20,-0.01035937857940028,4.492943556445867,0.7842857142857143
0.0,0.5,2,geom-only,3.0588154710108624,PD,8.720287454260294e-05,0.31696234423078373,2.4010429157989335,20,-0.005853014694281011,4.505538917666164,0.8085714285714286
1.0,0.5,2,2,3.4481511547777837,PD,6.991666106005229e-05,0.3221281836217351,2.49973035594523,20,0.006020394032256626,4.4592329157788955,0.8285714285714286
1.0,1.0,2,1,6.564818817445948,PD,8.099628285654012e-05,0.31956889898032487,2.461604315010331,20,0.0018620773915328792,4.462049601075514,0.82
1.0,2.0,2,0.5,12.718237777522369,PD,9.030838694567254e-05,0.3180594663943407,2.4289424898311127,20,-0.0002444201646396582,4.47250022549028,0.8142857142857143
